LOC,CBO,RFC,WMC,defect
122.0,9,34.0,20.0,0
4.0,1,1.0,1.0,0
484.0,114,156.0,176.0,1
33.0,5,18.0,12.0,0
673.0,23,174.0,115.0,0
16.0,2,4.0,2.0,0
87.0,6,46.0,23.0,0
9.0,2,2.0,2.0,0
250.0,11,50.0,64.0,0
9.0,4,5.0,3.0,0
95.0,6,51.0,25.0,0
42.0,8,14.0,10.0,0
42.0,5,22.0,14.0,0
387.0,12,125.0,93.0,0
53.0,1,18.0,19.0,0
14.0,4,4.0,4.0,0
624.0,63,172.0,148.0,1
20.0,1,5.0,6.0,0
0.0,1,2.0,0.0,0
1126.0,36,244.0,276.0,1
52.0,4,34.0,17.0,0
16.0,6,8.0,4.0,0
127.0,18,61.0,29.0,1
494.0,22,191.0,166.0,1
3.0,2,2.0,1.0,0
795.0,27,171.0,212.0,1
591.0,21,220.0,156.0,1
166.0,9,40.0,39.0,0
144.0,3,40.0,37.0,0
760.0,108,281.0,234.0,0
35.0,5,12.0,13.0,0
72.0,3,55.0,15.0,0
52.0,7,17.0,12.0,0
55.0,5,14.0,27.0,0
214.0,7,47.0,53.0,1
32.0,5,17.0,11.0,0
96.0,5,51.0,25.0,0
56.0,6,22.0,20.0,0
378.0,55,93.0,110.0,1
245.0,31,72.0,72.0,1
258.0,5,130.0,56.0,0
419.0,14,162.0,94.0,0
343.0,11,106.0,91.0,0
34.0,3,12.0,7.0,0
39.0,3,14.0,11.0,0
21.0,1,10.0,6.0,0
197.0,6,54.0,68.0,0
0.0,1,1.0,0.0,0
81.0,5,29.0,21.0,0
45.0,6,13.0,16.0,0
1461.0,55,446.0,456.0,1
167.0,14,51.0,36.0,0
151.0,13,53.0,53.0,0
11.0,1,3.0,3.0,0
27.0,3,7.0,8.0,0
319.0,15,156.0,81.0,0
50.0,2,10.0,15.0,1
25.0,3,10.0,8.0,0
69.0,8,24.0,25.0,1
109.0,5,30.0,31.0,0
85.0,35,16.0,21.0,0
35.0,7,24.0,11.0,0
62.0,16,18.0,22.0,0
207.0,13,58.0,30.0,0
83.0,3,24.0,25.0,0
18.0,7,10.0,5.0,0
451.0,19,172.0,84.0,1
43.0,1,11.0,11.0,0
166.0,13,42.0,29.0,1
264.0,8,85.0,63.0,0
107.0,6,24.0,49.0,0
64.0,11,18.0,18.0,0
83.0,17,49.0,20.0,0
140.0,8,37.0,48.0,1
70.0,8,39.0,18.0,1
11.0,1,2.0,4.0,0
27.0,5,12.0,7.0,0
59.0,4,35.0,16.0,0
0.0,1,1.0,0.0,0
12.0,2,5.0,3.0,0
35.0,20,10.0,10.0,0
108.0,11,51.0,34.0,0
25.0,3,5.0,7.0,0
90.0,9,34.0,30.0,0
377.0,11,89.0,80.0,1
0.0,6,2.0,0.0,0
23.0,4,13.0,6.0,0
31.0,4,19.0,9.0,0
30.0,6,12.0,8.0,0
31.0,9,14.0,11.0,0
140.0,5,28.0,25.0,0
86.0,6,48.0,22.0,0
67.0,4,18.0,25.0,1
222.0,20,126.0,57.0,0
423.0,28,149.0,56.0,0
10.0,2,3.0,3.0,1
33.0,4,9.0,7.0,0
136.0,6,72.0,38.0,0
41.0,6,18.0,14.0,0
131.0,6,38.0,24.0,0
210.0,8,70.0,47.0,0
34.0,7,13.0,6.0,0
241.0,38,105.0,87.0,0
116.0,6,34.0,31.0,0
98.0,5,49.0,24.0,0
17.0,2,7.0,4.0,1
163.0,12,88.0,35.0,0
724.0,22,210.0,246.0,0
46.0,10,25.0,12.0,0
63.0,11,34.0,22.0,0
91.0,6,50.0,23.0,0
34.0,8,12.0,14.0,0
123.0,3,43.0,31.0,1
56.0,7,16.0,19.0,0
14.0,13,11.0,5.0,0
106.0,6,54.0,27.0,0
393.0,6,67.0,102.0,0
50.0,4,23.0,13.0,0
195.0,16,75.0,56.0,0
9.0,1,5.0,2.0,0
37.0,3,14.0,12.0,0
124.0,5,30.0,44.0,0
6.0,3,3.0,2.0,0
7.0,0,2.0,2.0,0
74.0,1,17.0,25.0,0
118.0,4,33.0,36.0,0
526.0,26,176.0,175.0,1
18.0,2,5.0,5.0,0
3.0,1,1.0,1.0,0
60.0,3,35.0,16.0,0
223.0,15,104.0,46.0,1
